lateral_position_motor,elevational_position_motor,axial_position_motor,mean_error_lateral_position_tracked,mean_error_elevational_position_tracked,mean_error_axial_position_tracked,repeatability_lateral_position_tracked,repeatability_elevational_position_tracked,repeatability_axial_position_tracked,mean_error_rms,repeatability_rms
-0.01,-0.02,0.02,0.0002898331098831,-0.0021415602032002,-0.0005421785003422,0.0004030889993255,0.000401451745179,0.0002950787563714,0.0022280576432734,0.0006408710615609
-0.01,-0.02,0.03,0.0002887521849211,-0.0053634706526152,-0.0015294691477488,0.0004631073748972,0.0008378860124843,0.0003918740418335,0.0055847534537951,0.0010344499385006
-0.01,-0.02,0.04,0.0013643881546312,-0.0062215862866893,-0.0015112674852536,0.0007098584225147,0.0010493032828075,0.0003672228402121,0.0065462676672439,0.001319010604089
-0.01,-0.02,0.05,0.0012662523770435,-0.0016299363960324,-0.0005081959571177,0.0017077467507794,0.0030902909531199,0.0006557933204806,0.0021256412840153,0.0035911505146568
-0.01,-0.02,0.06,0.0035485732860887,0.0032365638709003,-0.0002237473888206,0.0025129430266125,0.0027953941964947,0.0002249535091391,0.0048080953558726,0.0037655962940909
-0.01,-0.02,0.07,0.013713337133087,0.0055996788724863,-0.001123182434923,0.0067374102871529,0.0028360379282854,0.0018407002535003,0.0148550852432018,0.0075381686059244
-0.01,-0.02,0.08,0.0031733356455184,0.0001448321733469,-0.0004104414050119,0.0018443410334946,0.0010657493534429,9.084153122175874e-05,0.0032030450550222,0.002132057155892
-0.01,-0.02,0.09,0.0029799601213191,-0.0001212299664579,-0.0003554950337768,0.000554073790901,0.0011359501907811,0.000152302275923,0.0030035372061054,0.0012730186899455
-0.01,-0.02,0.1,0.0026518506270255,3.288856377640818e-05,-0.0002988428253689,0.0007937081668729,0.0005069489172874,7.152989403016473e-05,0.002668838781185,0.0009445032475538
-0.01,-0.02,0.11,0.0027041427638983,0.0001343900182923,-0.0002904779716855,0.0005352192663601,0.000327198333844,7.087803015450186e-05,0.0027230178509504,0.0006313019150232
-0.01,-0.02,0.12,0.0031883844195921,-0.000201406195813,-0.0002431563142462,0.0008072583776893,0.0004808213149365,8.45829620182592e-05,0.0032039795030504,0.0009434031496188
-0.01,-0.02,0.13,0.0015411912012767,2.380080698526219e-06,-0.0001150828040788,0.0010704771519444,0.0005169186496853,0.0001068096167873,0.0015454837545156,0.0011935386535281
-0.01,-0.02,0.14,0.0011563269483606,-0.0001233890811668,-6.429693255746278e-05,0.0010504783571322,0.0004164448034292,6.976004097481472e-05,0.0011646677519328,0.0011321649687317
-0.01,-0.01,0.02,5.4762908930174624e-05,-0.0017637955628295,0.0003817446270455,0.0004417472302596,0.0003570513389105,0.0003098668933904,0.0018054646836561,0.0006470268662732
-0.01,-0.01,0.03,0.0009774092295865,-0.0026712020378336,0.000434083363299,0.0003060880529851,0.0006085406806981,8.202550022004816e-05,0.0028773386132502,0.0006861048308612
-0.01,-0.01,0.04,0.0022397908637325,-0.000690287995758,0.0002084952499784,0.0007695570680455,0.0003728712553465,0.0002172453089426,0.0023530046535464,0.000882296196467
-0.01,-0.01,0.05,0.0007898316584553,-8.333819455939975e-05,-0.0001316801525775,0.0008631538238951,0.0002762629841639,0.0002004618125046,0.0008050583618307,0.0009281921667395
-0.01,-0.01,0.06,0.001628982034455,-0.0002329315630969,-0.0001802997249586,0.0017813455879049,0.00104825357787,0.0002001375291885,0.0016553995205037,0.0020765554887012
-0.01,-0.01,0.07,0.0008002614903372,0.0003151631211909,-0.0001634456467894,0.0009065386683017,0.0004219328396809,0.0001007520749978,0.0008754774270819,0.0010049829147522
-0.01,-0.01,0.08,0.0008770272373397,0.0003769261885731,-0.0001337979451862,0.0009303111478641,0.0003719026355057,5.9368093970150886e-05,0.0009639253170262,0.0010036508221079
-0.01,-0.01,0.09,0.0014886223068627,0.0001418945280884,-0.0001469921526309,0.0006796482484888,0.0003188478988171,5.4658360145532805e-05,0.0015025768274952,0.0007527106087919
-0.01,-0.01,0.1,0.0011771147215814,0.0001621580250598,-0.0001420880800458,0.000642310473328,0.0003790159958404,5.531330577983702e-05,0.0011966968351868,0.0007478471976587
-0.01,-0.01,0.11,0.0015062071862358,-0.000125508008823,-0.0001079142663399,0.0008533115029244,0.0002748733774937,5.8792062008169353e-05,0.0015152748387757,0.0008984166078347
-0.01,-0.01,0.12,0.0019638746345922,-0.0002709108321684,-5.977684370495829e-05,0.0010529425737443,0.0004730009749144,7.781799606104269e-05,0.0019833732705732,0.0011569242094382
-0.01,-0.01,0.13,0.0014218200026603,-0.0007462034107945,-9.465057622326735e-05,0.0006969673068066,0.0004200058110152,8.892118022795326e-05,0.0016085242869866,0.0008185812631235
-0.01,-0.01,0.14,0.0008345446062186,-0.0002658008880936,-6.289290381416197e-05,0.0012143491264633,0.0004074128762789,9.518869291949332e-05,0.0008781061036288,0.0012844025614891
-0.01,-0.0,0.02,-0.0004392217880829,-5.8300158788397816e-05,0.0003183804049581,0.0004109997685412,0.0005009186684366,0.0003324560218429,0.0005456012920648,0.0007282632275413
-0.01,-0.0,0.03,0.000272266091223,-0.0002623727177593,0.0002421662725182,0.000171135525111,0.0002141684979171,8.254512729815588e-05,0.0004490131078261,0.0002863026571581
-0.01,-0.0,0.04,0.0013660695205705,3.450442254771723e-07,0.0001332121624803,0.0005142238800891,0.0002402809191842,8.784632338512353e-05,0.0013725492830204,0.0005743501506139
-0.01,-0.0,0.05,0.0018365618615802,0.0003926561176325,0.0002026561041176,0.0006186942383039,0.0002643049822615,0.000145248050202,0.0018889700354059,0.000688285318924
-0.01,-0.0,0.06,0.0005951571722985,0.0002588916569608,0.0001417856676612,0.0004689464711721,0.0002497430383479,9.374329939938064e-05,0.0006643343475514,0.0005395092067892
-0.01,-0.0,0.07,0.0001299893602126,0.000187702473724,0.0001439471458913,0.0003904218265744,0.0002326587697045,5.125767581297426e-05,0.0002699078235636,0.0004573692765325
-0.01,-0.0,0.08,0.0001023333281716,0.0001710747858077,0.0002795292101541,0.0004695299434745,0.0001785550193221,6.415104268937908e-05,0.0003433296837199,0.0005064144735515
-0.01,-0.0,0.09,0.0005043832878138,0.0001517133803876,0.0002604669635412,0.0005927010063118,0.0002259014072134,6.689916976047653e-05,0.0005875904099889,0.0006378098678906
-0.01,-0.0,0.1,0.0004919505686332,-9.779658301303e-05,0.0002059095184915,0.0005379743515749,0.0002062507042197,5.008316863878384e-05,0.0005421976239647,0.0005783286952283
-0.01,-0.0,0.11,0.0006814055737361,-0.000229305492424,0.0002050120114793,0.0007387409194318,0.0001999601553321,4.739164012604285e-05,0.0007476125263967,0.0007667908302251
-0.01,-0.0,0.12,0.0005123835519875,-0.0003193595626087,0.0001943892547515,0.0005269478746748,0.000227074235462,4.821781408987176e-05,0.0006342827578768,0.0005758139705066
-0.01,-0.0,0.13,0.0004699520809385,-0.000435376498987,0.0002138951391074,0.0006058932423712,0.0003323659039255,5.015546577939419e-05,0.0006753952803969,0.000692884756645
-0.01,-0.0,0.14,0.0007460203479158,-0.0004457989854365,0.000256012371251,0.0006236288826593,0.0002520415305665,5.5626340911079374e-05,0.0009059941661811,0.0006749312603669
0.0,-0.02,0.02,0.0002953637242869,-0.0016010781529467,-0.0004188343529842,0.0002841411295441,0.0004034408341777,0.0001321460776803,0.0016811047548287,0.0005108456459899
